An,Judet PJ,Localitate PJ,Cod SIRUTA PJ,Mediu loc. PJ,cod_siiir_pj,Denumire PJ,Localitate unitate,Cod SIRUTA unitate,Mediu loc. unitate,Cod SIRUES,Cod SIIIR unitate,Denumire scurta unitate,Denumire lunga unitate,Tip unitate,Statut unitate,Cod fiscal,Mod functionare,Forma finantare,Forma proprietate,Strada,Numar,Cod postal,Telefon,Fax,Email,numar_elevi,limba_de_predare,nivel_invatamant,numar_subunitati,nr_rural,nr_urban
2024-2025,AB,Abrud,1160,Urban,161102892,"Liceul ""Horea, Cloșca Și Crișan"" Abrud",Abrud,1160,Urban,1180302,161102892,"Lic ""Hcc"" Abrud","Liceul ""Horea, Cloșca Și Crișan"" Abrud",Unitate de Învățământ,Pj,4905584,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Republicii,18,515100.0,258780623.0,258780601.0,Hcc.Abrud@Isjalba.Ro,316.0,['Limba română'],"['Gimnazial', 'Liceal', 'Primar', 'Profesional']",1.0,0.0,28.0
2024-2025,AB,Abrud,1160,Urban,161100031,"Școala Gimnazială ""Avram Iancu"" Abrud",Abrud,1160,Urban,303816,161100031,"S08 ""Avram Iancu"" Abrud","Școala Gimnazială ""Avram Iancu"" Abrud",Unitate de Învățământ,Pj,12877744,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Cloșca,3-5,515100.0,258780791.0,258780791.0,Sc.Abrud@Isjalba.Ro,365.0,['Limba română'],"['Gimnazial', 'Preșcolar', 'Primar']",2.0,0.0,18.0
2024-2025,AB,Aiud,1222,Urban,161103328,"Colegiul Național ""Bethlen Gabor"" Aiud",Aiud,1222,Urban,308165,161103328,"Colegiul ""B.G.""Aiud","Colegiul Național ""Bethlen Gabor"" Aiud",Unitate de Învățământ,Pj,4613601,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Bethlen Gabor,1,515200.0,258861947.0,258861947.0,Bg.Aiud@Isjalba.Ro,513.0,['Limba maghiară'],"['Antepreşcolar', 'Gimnazial', 'Liceal', 'Preșcolar', 'Primar', 'Profesional']",2.0,0.0,32.0
2024-2025,AB,Aiud,1222,Urban,161102856,"Colegiul Național ""Titu Maiorescu"" Aiud",Aiud,1222,Urban,3107263,161102856,"Colegiul ""T.M"" Aiud","Colegiul Național ""Titu Maiorescu"" Aiud",Unitate de Învățământ,Pj,4613580,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Ecaterina Varga,10,515200.0,258861946.0,258861946.0,Tm.Aiud@Isjalba.Ro,732.0,['Limba română'],"['Gimnazial', 'Liceal', 'Preșcolar', 'Primar']",2.0,0.0,27.0
2024-2025,AB,Aiud,1222,Urban,161102571,Grădinița cu Program Prelungit Nr. 2 Aiud,Aiud,1222,Urban,301454,161102571,Gpp Nr. 2 Aiud,Grădinița cu Program Prelungit Nr. 2 Aiud,Unitate de Învățământ,Pj,32345571,Program Prelungit,Buget,Publică de Interes Național Și Local,Unirii,10,515200.0,258861747.0,258861747.0,Gpp2.Aiud@Isjalba.Ro,240.0,['Limba română'],"['Antepreşcolar', 'Preșcolar']",2.0,0.0,8.0
2024-2025,AB,Aiud,1222,Urban,161103337,Liceul Tehnologic Aiud,Aiud,1222,Urban,111172,161103337,Lic. Teh. Aiud,Liceul Tehnologic Aiud,Unitate de Învățământ,Pj,9054586,Două Schimburi/Zi,Buget,Publică de Interes Național Și Local,Ion Creangă,14,515200.0,258861018.0,258861018.0,Ct.Aiud@Isjalba.Ro,775.0,"['Limba maghiară', 'Limba română']","['Gimnazial', 'Liceal', 'Preșcolar', 'Primar', 'Profesional']",3.0,24.0,21.0
2024-2025,AB,Aiud,1222,Urban,161102268,"Școala Gimnazială ""Axente Sever"" Aiud",Aiud,1222,Urban,303880,161102268,"S08 ""Axente Sever"" Aiud","Școala Gimnazială ""Axente Sever"" Aiud",Unitate de Învățământ,Pj,12840966,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Unirii,9,515200.0,258861585.0,258861585.0,As.Aiud@Isjalba.Ro,675.0,['Limba română'],"['Gimnazial', 'Primar']",1.0,0.0,29.0
2024-2025,AB,Aiud,1222,Urban,161100126,"Școala Gimnazială ""Ovidiu Hulea"" Aiud",Aiud,1222,Urban,303866,161100126,"S08 ""Ovidiu Hulea"" Aiud","Școala Gimnazială ""Ovidiu Hulea"" Aiud",Unitate de Învățământ,Pj,4613660,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Cuza Vodă,35,515200.0,258861427.0,258861427.0,Oh.Aiud@Isjalba.Ro,663.0,"['Limba maghiară', 'Limba română']","['Gimnazial', 'Preșcolar', 'Primar']",5.0,0.0,27.0
2024-2025,AB,Aiud,1222,Urban,161205934,"Școala Postliceală ,, Med Farm Speranța” Aiud",Aiud,1222,Urban,,161205934,Med Farm Aiud,"Școala Postliceală ,, Med Farm Speranța” Aiud",Unitate de Învățământ,Pj,43129948,Un Schimb/Zi,Taxă,Privată,Ecaterina Varga,41,515200.0,745131706.0,358401363.0,Scsperanta.Aiud@Isjalba.Ro,80.0,['Limba română'],['Postliceal'],1.0,0.0,3.0
2024-2025,AB,Alba Iulia,1026,Urban,131100079,Casa Corpului Didactic Alba,Alba Iulia,1026,Urban,11103003,131100079,Ccd Alba,Casa Corpului Didactic Alba,Casa Corpului Didactic,Pj,4681797,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Gabriel Bethlen,7,510009.0,258826147.0,258826147.0,Ccd@Isjalba.Ro,,,,,,
2024-2025,AB,Alba Iulia,1026,Urban,191105924,Centrul Județean de Excelență Alba,Alba Iulia,1026,Urban,12817316,191105924,Cex Alba,Centrul Județean de Excelență Alba,Centru Județean de Excelență,Pj,43415044,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Béthlen Gabriel,7,510009.0,744166176.0,258817663.0,Cje@Isjalba.Ro,,,,,,
2024-2025,AB,Alba Iulia,1026,Urban,141103345,Centrul Județean de Resurse Și Asistență Educațională Alba,Alba Iulia,1026,Urban,8888,141103345,Cjrae Alba,Centrul Județean de Resurse Și Asistență Educațională Alba,Centru Județean de Resurse Și Asistență Educațională,Pj,21483277,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Gheorghe Pop de Băsești,2,510215.0,726285728.0,258834102.0,Cjrae@Isjalba.Ro,,,,,,
2024-2025,AB,Alba Iulia,1026,Urban,161102318,Centrul Școlar de Educație Incluzivă Alba Iulia,Alba Iulia,1026,Urban,503129,161102318,Csei Alba Iulia,Centrul Școlar de Educație Incluzivă Alba Iulia,Unitate de Învățământ,Pj,4855087,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Tudor Vladimirescu,39,510207.0,258819383.0,258819383.0,Csei@Isjalba.Ro,138.0,['Limba română'],"['Gimnazial', 'Preșcolar', 'Primar']",1.0,0.0,14.0
2024-2025,AB,Alba Iulia,1026,Urban,161103278,"Colegiul Economic ""Dionisie Pop Marțian"" Alba Iulia",Alba Iulia,1026,Urban,958099,161103278,"Colegiul.Ec.""D.P.M."" Alba Iulia","Colegiul Economic ""Dionisie Pop Marțian"" Alba Iulia",Unitate de Învățământ,Pj,4681800,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Octavian Goga,11,510150.0,258811468.0,258811161.0,Dpm.Alba@Isjalba.Ro,621.0,['Limba română'],"['Liceal', 'Profesional']",1.0,0.0,23.0
